company,price,change
Microsoft Corporation (MSFT),355.33,(+0.72%)
International Business Machines Corporation (IBM),148.72,(+0.55%)
General Electric Company (GE),111.20,(+2.09%)
Union Pacific Corporation (UNP),211.32,(-0.38%)
Costco Wholesale Corporation (COST),571.95,(+1.97%)
McDonald's Corporation (MCD),268.95,(+0.40%)
Visa Inc. (V),243.18,(-0.17%)
Walmart Inc. (WMT),165.38,(+0.44%)
The Walt Disney Company (DIS),84.40,(-0.78%)
3M Company (MMM),93.55,(-0.33%)
Intel Corporation (INTC),38.08,(+0.16%)
American Express Company (AXP),152.15,(-0.40%)
Apple Inc. (AAPL),178.57,(+1.09%)
The Boeing Company (BA),194.91,(-0.07%)
"Cisco Systems, Inc. (CSCO)",53.11,(+0.18%)
"The Goldman Sachs Group, Inc. (GS)",323.07,(-1.39%)
JPMorgan Chase & Co. (JPM),143.63,(+0.44%)
"Salesforce, Inc. (CRM)",205.12,(-1.13%)
Verizon Communications Inc. (VZ),35.65,(-1.03%)
